12:53:43.798 INFO | LogistPlatform finished successfully!
12:53:43.798 FINE | Run command: java -Xmx1024m -classpath logist/logist.jar logist.LogistPlatform -o tournament\MyEvent\auction-Naive-Random.xml -a tournament\MyEvent\agents.xml C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml Naive Random
12:53:43.893 CONFIG | Reading C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml
12:53:43.955 CONFIG | Reading config\settings_auction.xml
12:53:43.955 CONFIG | Reading config\topology\england.xml
12:53:43.971 CONFIG | Reading tournament\MyEvent\agents.xml
12:53:48.995 CONFIG | Done in 35000 iterations; final solution cost = 11192.0
12:53:55.302 CONFIG | Wrote tournament\MyEvent\auction-Naive-Random.xml
12:53:55.521 INFO | LogistPlatform finished successfully!
12:53:55.521 FINE | Run command: java -Xmx1024m -classpath logist/logist.jar logist.LogistPlatform -o tournament\MyEvent\auction-Opponent-dummy.xml -a tournament\MyEvent\agents.xml C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml Opponent dummy
12:53:55.600 CONFIG | Reading C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml
12:53:55.647 CONFIG | Reading config\settings_auction.xml
12:53:55.662 CONFIG | Reading config\topology\england.xml
12:53:55.678 CONFIG | Reading tournament\MyEvent\agents.xml
12:53:56.598 CONFIG | lowest = -1.3482698511467367E308,  estimate * beta = 0.0 * 0.85
12:54:22.681 CONFIG | total cost: 11821.0
12:54:22.870 CONFIG | Done in 10000 iterations; final solution cost = 2766.0
12:54:31.139 CONFIG | Wrote tournament\MyEvent\auction-Opponent-dummy.xml
12:54:31.358 INFO | LogistPlatform finished successfully!
12:54:31.358 FINE | Run command: java -Xmx1024m -classpath logist/logist.jar logist.LogistPlatform -o tournament\MyEvent\auction-Opponent-MyAgent.xml -a tournament\MyEvent\agents.xml C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml Opponent MyAgent
12:54:31.453 CONFIG | Reading C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml
12:54:31.515 CONFIG | Reading config\settings_auction.xml
12:54:31.531 CONFIG | Reading config\topology\england.xml
12:54:31.546 CONFIG | Reading tournament\MyEvent\agents.xml
12:54:40.768 CONFIG | lowest = 0.0,  estimate * beta = -2139.355768723668 * 0.85
12:54:45.261 CONFIG | lowest = 0.0,  estimate * beta = -3022.4895390478023 * 0.85
12:55:31.493 CONFIG | total cost: 8374.0
12:55:31.493 CONFIG | total cost: 9329.0
12:55:34.053 CONFIG | Wrote tournament\MyEvent\auction-Opponent-MyAgent.xml
12:55:34.255 INFO | LogistPlatform finished successfully!
